DistrictName,Latitude,Longitude
Kitasenzoku,35.607768300000004,139.69356547242492
Unoki,35.5754772,139.6805847
Maeharacho,35.6919631,139.5075641
Meguritacho,35.7173636,139.4954031
Higashiueno,35.7137357,139.7790851
Suzukicho,35.7231791,139.5101483
Kamiyoga,35.6371609,139.6335804
Nishiaraihoncho,,
Takada,35.7619113,139.7252423
Kamisaginomiya,35.731639,139.6317433
Kamiosaki,35.634752,139.7194518
Hyakunincho,35.7036596,139.69869015533885
Matsugaya,35.7148026,139.78709299170742
Otowa,35.7186212,139.7279151
Iwamotocho,35.69392085,139.77705947987607
Tanashicho,35.7287951,139.5400411
Nozawa,35.6324642,139.6672381
Asakusabashi,35.6973931,139.7846834
Kyojima,35.7156541,139.820884
Heiwadai,35.7576885,139.6541369
Shirakawa,35.68256505,139.8043795901391
Aiharamachi,35.6054106,139.3299887
Doshida,35.7666903,139.6196738
Chidori,35.7082191,139.7602869
Wakabacho,,
Kanamori,35.5239213,139.4642422
Hachimancho,35.6606481,139.3260185
Meguro,35.62125,139.688014
Kyuden,35.7762747,139.790317
Nishishinkoiwa,35.718517,139.855802
Wakagi,35.7696134,139.6730933
Nishimizumoto,35.7890763,139.8574506
Edagawa,35.65708295,139.80556095524594
Tsurukawa,35.5832205,139.4815692
Kusabana,35.7417037,139.3048299
Morishita,35.6879977,139.7970443
Ryogoku,35.696861,139.7974842
Shimane,35.7819102,139.79728592061247
Higashioume,35.7899044,139.2725011
Kamakura,35.6602524,139.6728159
Ogi,35.76629135,139.77260285663698
Nishimizue,35.6795066,139.8804452
Omorihigashi,35.5764409,139.7387137
Zempukuji,,
Higashiyaguchi,,
Ichinoe,35.6860437,139.8831198
Bessho,35.6027104,139.4453407
Motomachi,34.7516178,139.3570205
Kamezawa,35.69750365,139.8030278300813
Nakanobu,35.6052663,139.713591
Higashitateishi,,
Numabukuro,35.7192687,139.6646063
Minamihanahata,35.7889499,139.822163
Osawa,35.6731969,139.5387495
Oaza Kumagawa,,
Shirokanedai,35.6381169,139.7265558
Adachi,35.783703,139.795319
Hon-amanuma,35.7145402,139.6261006
Takiyama,35.706651449999995,139.30278558198805
Nishikojiya,35.5572648,139.7331679
Kitakasai,35.6735928,139.8598918
Momoi,35.7134088,139.6086647
Iko,35.794524,139.78368409081088
Shishibone,35.7139056,139.8835205
Shiohama,35.6631192,139.8101061507033
Daizawa,35.6566718,139.6705979
Nakameguro,35.644085,139.6989507
Suido,35.62516785,139.5688587800789
Kaigan,35.5876946,139.7354165
Yakumo,35.6207725,139.6671052
Hirano,35.67760495,139.80473238431898
Higashikanda,35.697364,139.781365
